userid,gender,birthyear,touchscreen_experience_level
1,0,1991,2
8,0,1991,2
22,1,1968,2
30,0,1995,3
31,0,1991,1
32,0,1991,2
33,0,1991,3
34,0,1991,3
35,0,1991,2
36,0,1990,2
37,0,1991,2
38,0,1991,3
39,0,1991,3
40,0,1991,3
41,0,1989,0
42,0,1993,2
43,1,1993,0
44,1,1993,1
45,0,1994,0
46,0,1992,0
47,0,1992,2
48,0,1993,1
49,1,1993,2
50,0,1993,2
51,0,1993,2
52,0,1990,0
53,1,1993,2
54,0,1993,3
55,0,1993,0
56,0,1992,0
57,0,1993,2
58,0,1993,2
59,1,1993,0
60,0,1991,3
61,0,1993,0
62,0,1987,2
63,0,1993,3
64,0,1991,1
65,1,1993,0
66,0,1992,2
67,0,1993,2
68,0,1992,3
69,0,1991,2
70,0,1991,0
71,1,1991,3
72,0,1991,0
73,0,1991,2
75,0,1992,3
76,0,1990,3
77,0,1991,1
78,0,1991,3
79,1,1979,0
80,0,1991,1
82,1,1992,2
83,0,1990,3
84,0,1993,2
85,0,1993,1
86,0,1993,2
87,1,1993,2
88,1,1993,2
89,0,1993,2
90,1,1993,1
91,0,1993,2
92,0,1993,2
93,0,1993,0
94,1,1982,0
95,1,1993,2
96,0,1983,1
97,0,1993,2
98,0,1993,2
100,0,1991,3
