,rf_eer,knn_eer,svm_eer
1.0,0.0004060419035244456,0.007877212928374233,0.237161092921589
2.0,0.0011723329425556983,0.01875732708089095,0.22785884788526067
3.0,0.0016561775422325176,0.017638290824776415,0.38051295592156553
4.0,0.0007244043786220344,0.00507083065035413,0.235404723882517
5.0,0.0004090983472426757,0.009409261986581596,0.33720104167398146
6.0,0.0009032681885366989,0.015684020364591877,0.3721861341449628
7.0,0.0012256904722993678,0.014708285667592746,0.40664770679535783
8.0,0.000818732601932215,0.013017848370722118,0.3021606696708847
9.0,0.0006487187804086747,0.00932533246837497,0.2694728329382501
10.0,0.0004072324482815026,0.006922951620785156,0.2971167942661671
11.0,0.0009789525208027672,0.009218469570892451,0.28554895395064345
12.0,0.0004863024801426419,0.006970335548711293,0.2036746429290753
13.0,0.00024232633279480664,0.00710823909531505,0.3236148117100172
14.0,0.0018917585129132886,0.016532324395459763,0.23022816696533768
15.0,0.0007409846863165037,0.010785443767495462,0.30143722593759137
16.0,0.0010534846029173206,0.007617504051863844,0.2279250664436716
17.0,0.0018961253091508423,0.01879637262984335,0.32450197323930685
18.0,0.0008143322475570036,0.010586319218241047,0.3358818253443072
19.0,0.0007252215954874908,0.006365834004834814,0.18308377669522405
20.0,0.0006503007641033842,0.006096569663469331,0.18336635184498504
21.0,0.0013227513227513366,0.014467592592592615,0.289109392147486
22.0,0.0004864601913410205,0.009972433922490698,0.2748715058174816
23.0,0.0009240591397849385,0.018565188172043,0.18916413052837783
24.0,0.0003255738238645556,0.011069510011395056,0.34763983093290807
25.0,0.00032610467960214606,0.007663459970650599,0.3793759803422184
26.0,0.000807754442649411,0.004927302100161568,0.3404944471128593
27.0,0.000978633175664656,0.014434839341053662,0.28342857045205405
28.0,0.0008246742536697771,0.017565561603166746,0.42699222310836854
29.0,0.0008141996417521669,0.00968897573685068,0.3152685219757947
30.0,0.00032357223750201225,0.005096262740656832,0.2711735526312181
31.0,0.0008155276463872041,0.009949437285924012,0.3319099254879485
32.0,0.0005644250927269723,0.006692468956619901,0.28958770354091257
33.0,0.0008202099737532609,0.01263123359580054,0.3155715039461896
34.0,0.0001647989452867593,0.015161502966381024,0.1518858075918484
35.0,0.001436538786547259,0.025012675342234225,0.3313986813103994
36.0,0.0005709624796084722,0.011827079934747131,0.291564105781699
37.0,0.0006493506493506218,0.010389610389610393,0.2898437083834951
38.0,0.000833055648117309,0.01649450183272244,0.23180040979717575
39.0,0.0007334963325183463,0.009127954360228174,0.3955527363118457
40.0,0.0006485084306095956,0.00810635538262,0.292095454013851
41.0,0.00024158479626346097,0.0031406023514253256,0.16706035462769836
